home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,Total goals in a match
Belgium,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True,1930,3
France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,True,1930,5
Brazil,Yugoslavia,1,2,FIFA World Cup,Montevideo,Uruguay,True,1930,3
Peru,Romania,1,3,FIFA World Cup,Montevideo,Uruguay,True,1930,4
Argentina,France,1,0,FIFA World Cup,Montevideo,Uruguay,True,1930,1
Chile,Mexico,3,0,FIFA World Cup,Montevideo,Uruguay,True,1930,3
Bolivia,Yugoslavia,0,4,FIFA World Cup,Montevideo,Uruguay,True,1930,4
Paraguay,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True,1930,3
Uruguay,Peru,1,0,FIFA World Cup,Montevideo,Uruguay,False,1930,1
Argentina,Mexico,6,3,FIFA World Cup,Montevideo,Uruguay,True,1930,9
Chile,France,1,0,FIFA World Cup,Montevideo,Uruguay,True,1930,1
Belgium,Paraguay,0,1,FIFA World Cup,Montevideo,Uruguay,True,1930,1
Bolivia,Brazil,0,4,FIFA World Cup,Montevideo,Uruguay,True,1930,4
Uruguay,Romania,4,0,FIFA World Cup,Montevideo,Uruguay,False,1930,4
Argentina,Chile,3,1,FIFA World Cup,Montevideo,Uruguay,True,1930,4
Argentina,United States,6,1,FIFA World Cup,Montevideo,Uruguay,True,1930,7
Uruguay,Yugoslavia,6,1,FIFA World Cup,Montevideo,Uruguay,False,1930,7
Uruguay,Argentina,4,2,FIFA World Cup,Montevideo,Uruguay,False,1930,6
Argentina,Sweden,2,3,FIFA World Cup,Bologna,Italy,True,1934,5
Austria,France,3,2,FIFA World Cup,Turin,Italy,True,1934,5
Belgium,Germany,2,5,FIFA World Cup,Florence,Italy,True,1934,7
Brazil,Spain,1,3,FIFA World Cup,Genoa,Italy,True,1934,4
Czechoslovakia,Romania,2,1,FIFA World Cup,Trieste,Italy,True,1934,3
Egypt,Hungary,2,4,FIFA World Cup,Naples,Italy,True,1934,6
Italy,United States,7,1,FIFA World Cup,Rome,Italy,False,1934,8
Netherlands,Switzerland,2,3,FIFA World Cup,Milan,Italy,True,1934,5
Austria,Hungary,2,1,FIFA World Cup,Bologna,Italy,True,1934,3
Czechoslovakia,Switzerland,3,2,FIFA World Cup,Turin,Italy,True,1934,5
Germany,Sweden,2,1,FIFA World Cup,Milan,Italy,True,1934,3
Italy,Spain,1,1,FIFA World Cup,Florence,Italy,False,1934,2
Italy,Spain,1,0,FIFA World Cup,Florence,Italy,False,1934,1
Czechoslovakia,Germany,3,1,FIFA World Cup,Rome,Italy,True,1934,4
Italy,Austria,1,0,FIFA World Cup,Milan,Italy,False,1934,1
Austria,Germany,2,3,FIFA World Cup,Naples,Italy,True,1934,5
Italy,Czechoslovakia,2,1,FIFA World Cup,Rome,Italy,False,1934,3
Germany,Switzerland,1,1,FIFA World Cup,Paris,France,True,1938,2
Brazil,Poland,6,5,FIFA World Cup,Strasbourg,France,True,1938,11
Cuba,Romania,3,3,FIFA World Cup,Toulouse,France,True,1938,6
Czechoslovakia,Netherlands,3,0,FIFA World Cup,Le Havre,France,True,1938,3
France,Belgium,3,1,FIFA World Cup,Colombes,France,False,1938,4
Hungary,Indonesia,6,0,FIFA World Cup,Reims,France,True,1938,6
Italy,Norway,2,1,FIFA World Cup,Marseille,France,True,1938,3
Cuba,Romania,2,1,FIFA World Cup,Toulouse,France,True,1938,3
Germany,Switzerland,2,4,FIFA World Cup,Paris,France,True,1938,6
Brazil,Czechoslovakia,1,1,FIFA World Cup,Bordeaux,France,True,1938,2
